theARCAtLarueandOrchard,38.54373,-121.76024
theDomesAtOrchardPark,38.54388,-121.76387
aggieStadiumHutchinsonandHealthSciences,38.53713,-121.76436
equestrianCenter,38.53008,-121.76636
cornerAtAggieField,38.5344,-121.75888
ghausiHall,38.5357,-121.75392
mondaviCenter,38.53328,-121.74853
bikeBarn,38.53898,-121.75215
cornerWestQuadNearShields,38.54093,-121.75006
cornerHutchisonField,38.53936,-121.75905
